case_id,case_type,court,court_hierarchy,state,sector,filing_date,disposal_date,duration_months,claim_amount_lakhs,claimant_lawyer_win_rate,respondent_is_govt,respondent_is_psu,num_prior_adjournments,has_interim_order,represented_by_senior_counsel,favourable_outcome,disposal_category,realisation_pct
SYNTH-00028,Specific Performance,Consumer Forum (State),2,Telangana,Others,2012-04-28,2015-08-11,40,16.24,0.77,1,0,6,0,1,0,Settlement / Compromise,
SYNTH-00029,Consumer Dispute,High Court (Appeal),3,Delhi,Banking & Finance,2017-09-09,2020-04-26,32,215.53,0.36,0,0,31,1,0,1,Decree in favour of plaintiff,
SYNTH-00030,IP Infringement,Supreme Court,4,West Bengal,Energy,2016-03-16,2021-12-15,70,24.66,0.27,0,0,16,1,0,0,Dismissed on merits,
SYNTH-00031,Money Recovery,District Court,1,Karnataka,Retail,2011-09-09,2016-10-12,62,63.16,0.77,0,0,2,0,0,1,Decree in favour of plaintiff,82.34
SYNTH-00032,Civil Suit,High Court (Original),3,Tamil Nadu,Banking & Finance,2016-11-30,2021-01-08,50,30.32,0.45,0,0,2,0,0,1,Settlement / Compromise,
SYNTH-00033,Labour / Employment,NCLAT,3,Karnataka,Retail,2019-02-12,2019-10-10,8,85.13,0.79,0,0,15,0,0,0,Dismissed on merits,
SYNTH-00034,Injunction,District Court,1,Maharashtra,Retail,2017-06-14,2021-11-20,54,55.02,0.68,0,0,15,1,0,1,Settlement / Compromise,
SYNTH-00035,IP Infringement,District Court,1,Tamil Nadu,Real Estate,2020-07-22,2024-01-03,42,6.53,0.37,0,0,19,0,0,0,Withdrawn,
SYNTH-00036,Commercial Dispute,High Court (Appeal),3,Uttar Pradesh,Healthcare,2017-05-13,2020-02-27,34,32.65,0.4,1,0,22,0,0,0,Dismissed on merits,
SYNTH-00037,Money Recovery,District Court,1,Gujarat,Retail,2015-11-10,2018-06-27,32,42.87,0.35,0,0,6,0,0,0,Dismissed for default,5.33
SYNTH-00038,Money Recovery,Consumer Forum (State),2,Uttar Pradesh,Manufacturing,2018-08-22,2021-03-09,31,48.83,0.74,0,1,27,1,0,1,Settlement / Compromise,41.51
SYNTH-00039,Commercial Dispute,NCLAT,3,Telangana,Retail,2011-07-28,2013-01-18,18,2197.03,0.77,0,0,7,0,0,1,Decree in favour of plaintiff,
SYNTH-00040,Commercial Dispute,NCLAT,3,Punjab,Others,2016-08-19,2017-12-12,16,85.83,0.55,0,0,24,0,0,0,Transferred,
SYNTH-00041,Commercial Dispute,NCLT,2,Rajasthan,Manufacturing,2010-01-04,2012-05-23,29,9.46,0.42,0,0,38,0,0,1,Decree in favour of plaintiff,
SYNTH-00042,CIRP (IBC),Consumer Forum (State),2,Tamil Nadu,IT / Technology,2013-10-22,2017-10-31,49,168.66,0.61,0,0,39,1,0,0,Settlement / Compromise,1.56
SYNTH-00043,Labour / Employment,High Court (Appeal),3,West Bengal,Others,2014-06-20,2021-04-14,83,131.67,0.33,1,0,39,0,1,0,Transferred,
SYNTH-00044,Consumer Dispute,High Court (Appeal),3,Maharashtra,Retail,2018-08-12,2028-11-17,125,12.36,0.52,0,0,0,0,0,0,Transferred,
SYNTH-00045,Injunction,High Court (Appeal),3,Uttar Pradesh,Energy,2021-08-14,2024-03-01,31,63.4,0.51,0,0,7,0,0,1,Settlement / Compromise,
SYNTH-00046,Labour / Employment,NCLAT,3,Rajasthan,Telecom,2019-12-05,2020-12-29,13,5.33,0.59,0,0,35,0,1,1,Settlement / Compromise,
SYNTH-00047,Labour / Employment,NCLT,2,Maharashtra,IT / Technology,2015-07-19,2018-02-03,31,11.1,0.71,0,0,31,0,0,0,Dismissed on merits,
SYNTH-00048,Specific Performance,High Court (Appeal),3,Tamil Nadu,Banking & Finance,2017-07-14,2021-11-20,53,13.75,0.43,0,0,14,0,1,0,Withdrawn,
SYNTH-00049,Commercial Dispute,Supreme Court,4,Delhi,Others,2017-06-03,2028-02-06,130,16.86,0.55,0,0,26,0,0,0,Dismissed on merits,
SYNTH-00050,CIRP (IBC),Supreme Court,4,Punjab,Manufacturing,2010-02-18,2014-04-28,51,184.99,0.77,0,0,26,0,0,1,Settlement / Compromise,15.2
SYNTH-00051,Partition,Consumer Forum (District),1,Karnataka,Others,2016-02-14,2021-12-14,71,80.63,0.49,1,0,25,0,0,1,Decree in favour of plaintiff,
SYNTH-00052,Civil Suit,Consumer Forum (State),2,Delhi,IT / Technology,2018-11-02,2022-03-16,41,8.54,0.58,0,1,27,1,0,1,Settlement / Compromise,
SYNTH-00053,Arbitration,Supreme Court,4,Telangana,Banking & Finance,2014-09-30,2017-04-17,31,119.45,0.5,0,0,17,0,0,0,Dismissed for default,
SYNTH-00054,Civil Suit,Consumer Forum (District),1,Tamil Nadu,Real Estate,2011-03-03,2013-01-21,23,79.5,0.8,0,0,2,0,0,1,Decree in favour of plaintiff,
SYNTH-00055,Partition,High Court (Original),3,Karnataka,Others,2012-10-31,2016-04-13,42,19.69,0.51,1,0,29,0,0,1,Settlement / Compromise,
SYNTH-00056,Labour / Employment,Commercial Court,2,West Bengal,Retail,2013-09-03,2015-10-23,26,84.74,0.78,1,1,19,0,0,1,Decree in favour of plaintiff,
SYNTH-00057,Money Recovery,High Court (Appeal),3,Punjab,Real Estate,2015-06-13,2017-10-30,29,896.65,0.31,0,0,38,0,0,0,Dismissed on merits,6.92
SYNTH-00058,Liquidation (IBC),NCLAT,3,Maharashtra,Retail,2019-08-11,2020-07-06,11,177.79,0.61,1,0,0,0,0,0,Dismissed on merits,1.03
SYNTH-00059,Appeal (HC),NCLAT,3,Rajasthan,Telecom,2020-04-24,2023-01-09,33,187.37,0.64,0,0,17,0,0,0,Decree in favour of defendant,
SYNTH-00060,IP Infringement,Supreme Court,4,Rajasthan,Others,2016-01-08,2028-09-01,154,37.79,0.43,0,0,17,0,0,0,Settlement / Compromise,
SYNTH-00061,Arbitration,Supreme Court,4,Punjab,IT / Technology,2010-08-24,2014-01-05,41,14.38,0.52,0,0,22,0,0,0,Dismissed on merits,
SYNTH-00062,Civil Suit,Consumer Forum (State),2,Rajasthan,Telecom,2021-08-03,2023-01-25,18,48.64,0.77,1,0,31,0,0,1,Settlement / Compromise,
SYNTH-00063,Labour / Employment,Consumer Forum (District),1,Uttar Pradesh,Energy,2010-05-22,2012-04-11,23,82.68,0.3,0,0,19,0,0,0,Decree in favour of defendant,
SYNTH-00064,Commercial Dispute,NCLAT,3,Maharashtra,Energy,2017-06-02,2019-08-21,27,55.67,0.44,0,0,14,1,1,0,Withdrawn,
SYNTH-00065,Partition,High Court (Original),3,Tamil Nadu,IT / Technology,2014-11-08,2020-12-06,74,36.71,0.66,0,0,33,0,0,1,Decree in favour of plaintiff,
SYNTH-00066,Arbitration,High Court (Appeal),3,Karnataka,Telecom,2014-01-09,2027-05-31,163,139.56,0.42,0,0,2,0,0,1,Settlement / Compromise,
SYNTH-00067,IP Infringement,Commercial Court,2,Rajasthan,Banking & Finance,2010-04-11,2011-07-05,15,10.95,0.57,0,0,11,0,0,0,Dismissed on merits,
SYNTH-00068,Commercial Dispute,Commercial Court,2,Maharashtra,Manufacturing,2021-01-11,2023-06-30,30,39.05,0.29,0,1,9,0,0,0,Dismissed on merits,
SYNTH-00069,Liquidation (IBC),Commercial Court,2,Telangana,Others,2019-05-03,2022-02-16,34,111.04,0.58,0,0,33,0,0,0,Settlement / Compromise,7.26
SYNTH-00070,Specific Performance,Supreme Court,4,Maharashtra,Infrastructure,2011-05-09,2014-07-22,39,5.63,0.59,0,0,13,0,0,1,Decree in favour of plaintiff,
SYNTH-00071,Injunction,High Court (Appeal),3,Telangana,Telecom,2011-09-07,2014-05-24,33,197.27,0.34,0,0,30,1,0,0,Transferred,
SYNTH-00072,Appeal (HC),Commercial Court,2,Karnataka,IT / Technology,2015-03-28,2017-05-16,26,8.43,0.76,0,0,12,0,0,1,Settlement / Compromise,
SYNTH-00073,Money Recovery,High Court (Original),3,Rajasthan,IT / Technology,2011-05-04,2014-07-17,39,97.32,0.34,0,0,36,0,0,1,Settlement / Compromise,55.15
SYNTH-00074,Specific Performance,Supreme Court,4,Delhi,Banking & Finance,2021-03-23,2026-03-27,61,9.83,0.55,0,0,27,0,0,1,Settlement / Compromise,
SYNTH-00075,Appeal (HC),High Court (Appeal),3,Uttar Pradesh,Telecom,2010-06-19,2014-07-28,50,126.62,0.8,0,0,2,0,1,1,Decree in favour of plaintiff,
SYNTH-00076,Injunction,NCLT,2,Maharashtra,Infrastructure,2019-10-11,2023-12-19,51,265.26,0.6,0,1,22,0,0,0,Settlement / Compromise,
SYNTH-00077,Commercial Dispute,NCLAT,3,Telangana,Healthcare,2021-02-10,2021-11-07,9,13.37,0.41,0,0,35,1,1,0,Dismissed for default,
SYNTH-00078,Labour / Employment,Commercial Court,2,Uttar Pradesh,Healthcare,2019-01-25,2021-08-12,31,118.0,0.73,0,1,34,0,1,0,Dismissed for default,
SYNTH-00079,Appeal (HC),Consumer Forum (District),1,Maharashtra,Real Estate,2019-12-01,2021-12-20,25,17660.7,0.67,0,0,18,0,0,0,Decree in favour of defendant,
SYNTH-00080,Consumer Dispute,High Court (Appeal),3,Rajasthan,Banking & Finance,2013-07-21,2018-01-26,55,299.87,0.42,1,0,14,0,0,0,Dismissed for default,
SYNTH-00081,CIRP (IBC),High Court (Original),3,West Bengal,Manufacturing,2016-07-18,2021-04-23,58,145.05,0.53,0,0,30,1,0,0,Dismissed on merits,8.11
SYNTH-00082,Consumer Dispute,Consumer Forum (State),2,Telangana,Real Estate,2013-01-23,2014-02-17,13,26.36,0.73,0,0,26,1,0,1,Decree in favour of plaintiff,
SYNTH-00083,Consumer Dispute,NCLT,2,Gujarat,Energy,2016-09-11,2019-03-30,31,1758.1,0.71,0,0,9,0,0,1,Decree in favour of plaintiff,
SYNTH-00084,Commercial Dispute,Consumer Forum (State),2,West Bengal,Real Estate,2020-03-19,2021-02-12,11,152.84,0.76,0,0,15,0,0,0,Withdrawn,
SYNTH-00085,Consumer Dispute,NCLAT,3,Uttar Pradesh,Others,2020-08-10,2021-04-07,8,26.9,0.64,0,0,9,0,1,0,Transferred,
SYNTH-00086,IP Infringement,NCLAT,3,Karnataka,Banking & Finance,2012-04-02,2014-10-19,31,60.12,0.73,0,0,29,1,1,1,Settlement / Compromise,
SYNTH-00087,Labour / Employment,Consumer Forum (District),1,West Bengal,Healthcare,2015-12-12,2016-11-06,11,18.67,0.44,0,0,21,0,0,0,Withdrawn,
SYNTH-00088,IP Infringement,Consumer Forum (District),1,West Bengal,Banking & Finance,2010-10-22,2013-02-08,28,18.26,0.59,0,0,18,0,0,1,Decree in favour of plaintiff,
SYNTH-00089,CIRP (IBC),Commercial Court,2,Karnataka,Manufacturing,2013-09-24,2015-11-13,26,58.46,0.63,0,1,3,1,0,1,Settlement / Compromise,18.81
SYNTH-00090,Commercial Dispute,Consumer Forum (State),2,Punjab,Infrastructure,2014-01-15,2017-06-28,42,2.62,0.34,1,0,39,0,0,0,Dismissed on merits,
SYNTH-00091,CIRP (IBC),High Court (Appeal),3,Karnataka,Banking & Finance,2015-09-12,2019-06-23,46,20.23,0.5,0,0,29,0,0,0,Settlement / Compromise,1.41
SYNTH-00092,Arbitration,Consumer Forum (District),1,Rajasthan,Banking & Finance,2016-09-16,2018-10-06,25,200.06,0.6,0,0,19,1,0,1,Settlement / Compromise,
SYNTH-00093,Commercial Dispute,High Court (Appeal),3,Delhi,Others,2018-01-19,2019-12-10,23,33.06,0.57,0,0,25,1,0,1,Settlement / Compromise,
SYNTH-00094,IP Infringement,Consumer Forum (District),1,Karnataka,Banking & Finance,2016-06-02,2017-08-26,15,20.49,0.68,0,0,14,0,0,0,Decree in favour of defendant,
SYNTH-00095,Specific Performance,District Court,1,Tamil Nadu,Infrastructure,2019-11-21,2029-06-01,116,100.23,0.27,0,0,18,1,0,1,Settlement / Compromise,
SYNTH-00096,Arbitration,Consumer Forum (State),2,Gujarat,Banking & Finance,2021-11-27,2023-01-21,14,216.33,0.53,0,0,30,0,0,1,Settlement / Compromise,
SYNTH-00097,Money Recovery,Consumer Forum (District),1,Gujarat,Banking & Finance,2013-02-27,2017-11-03,57,256.9,0.66,0,0,25,0,0,0,Transferred,7.46
SYNTH-00098,Civil Suit,Supreme Court,4,Gujarat,Banking & Finance,2015-12-07,2018-06-24,31,106.24,0.55,0,0,16,0,0,1,Decree in favour of plaintiff,
SYNTH-00099,CIRP (IBC),High Court (Appeal),3,Rajasthan,IT / Technology,2010-07-25,2015-07-29,61,13.59,0.59,0,0,39,1,1,0,Settlement / Compromise,2.4
SYNTH-00100,Money Recovery,Supreme Court,4,Karnataka,Retail,2013-02-19,2017-05-29,52,8.4,0.27,1,0,7,1,0,1,Settlement / Compromise,95.03
SYNTH-00101,Arbitration,Consumer Forum (District),1,Telangana,Real Estate,2019-05-27,2022-10-08,41,6.34,0.57,0,0,6,0,0,1,Settlement / Compromise,
SYNTH-00102,Partition,NCLAT,3,Gujarat,Real Estate,2019-12-12,2022-07-29,32,55.44,0.49,0,0,23,0,0,1,Decree in favour of plaintiff,
SYNTH-00103,Specific Performance,Supreme Court,4,Punjab,Real Estate,2014-04-04,2017-03-19,36,109.2,0.78,0,0,5,0,0,0,Withdrawn,
SYNTH-00104,Labour / Employment,District Court,1,Punjab,Manufacturing,2017-06-25,2021-11-01,53,22.19,0.38,1,0,4,0,0,0,Transferred,
SYNTH-00105,Arbitration,High Court (Appeal),3,Karnataka,Banking & Finance,2013-04-23,2016-11-03,43,30.63,0.68,0,0,9,0,0,1,Settlement / Compromise,
SYNTH-00106,Injunction,District Court,1,West Bengal,Energy,2010-05-02,2014-06-10,50,147.41,0.45,0,0,1,1,1,0,Dismissed for default,
SYNTH-00107,Consumer Dispute,Commercial Court,2,Punjab,Real Estate,2011-06-05,2015-10-12,53,8.53,0.51,0,0,6,0,0,1,Settlement / Compromise,
SYNTH-00108,Specific Performance,Consumer Forum (State),2,Rajasthan,Banking & Finance,2020-04-10,2026-12-05,81,2.92,0.6,1,0,25,0,1,0,Transferred,
SYNTH-00109,Arbitration,Commercial Court,2,Punjab,Energy,2013-04-30,2015-02-19,22,131.96,0.29,0,0,35,0,0,0,Settlement / Compromise,
SYNTH-00110,CIRP (IBC),NCLT,2,Rajasthan,Manufacturing,2021-05-04,2024-02-18,34,21.45,0.58,1,0,35,0,0,0,Transferred,0.19
SYNTH-00111,Arbitration,Supreme Court,4,Karnataka,Telecom,2020-03-04,2024-01-13,47,22.55,0.47,0,0,20,0,0,0,Dismissed for default,
SYNTH-00112,Money Recovery,Commercial Court,2,Uttar Pradesh,Energy,2011-12-01,2014-11-15,36,93.27,0.3,1,0,8,0,0,0,Transferred,11.1
SYNTH-00113,Appeal (HC),NCLAT,3,Telangana,Others,2012-09-28,2014-12-17,27,140.39,0.48,0,0,27,0,0,0,Settlement / Compromise,
SYNTH-00114,Arbitration,NCLT,2,Uttar Pradesh,Healthcare,2012-04-28,2013-11-19,19,23.56,0.57,0,0,14,0,0,1,Decree in favour of plaintiff,
SYNTH-00115,Labour / Employment,Commercial Court,2,Delhi,Others,2016-04-01,2019-01-16,34,136.4,0.57,0,0,39,0,0,1,Settlement / Compromise,
SYNTH-00116,Civil Suit,NCLT,2,Punjab,Retail,2014-01-17,2016-06-05,29,65.1,0.4,0,0,22,1,0,0,Dismissed on merits,
SYNTH-00117,Injunction,Commercial Court,2,Gujarat,Others,2010-09-09,2014-05-21,45,22.48,0.3,0,0,29,1,0,0,Dismissed for default,
SYNTH-00118,Civil Suit,Commercial Court,2,Punjab,Telecom,2013-06-28,2016-01-14,31,40.31,0.34,0,0,17,0,0,0,Withdrawn,
SYNTH-00119,Specific Performance,Supreme Court,4,Uttar Pradesh,IT / Technology,2014-11-01,2019-03-10,53,283.77,0.67,1,0,18,0,0,1,Decree in favour of plaintiff,
SYNTH-00120,Partition,District Court,1,Telangana,Healthcare,2018-11-12,2024-10-11,72,184.98,0.79,1,0,13,0,0,1,Settlement / Compromise,
SYNTH-00121,Civil Suit,Commercial Court,2,Gujarat,Banking & Finance,2021-02-26,2024-12-07,46,56.35,0.66,0,0,14,0,0,1,Settlement / Compromise,
SYNTH-00122,IP Infringement,Supreme Court,4,West Bengal,IT / Technology,2010-12-13,2017-11-06,84,34.28,0.49,0,1,20,0,0,1,Settlement / Compromise,
SYNTH-00123,Commercial Dispute,Commercial Court,2,Maharashtra,Retail,2010-06-20,2012-10-07,28,44.92,0.78,0,0,29,0,0,1,Decree in favour of plaintiff,
SYNTH-00124,Partition,Commercial Court,2,Karnataka,Banking & Finance,2019-10-10,2021-10-29,25,133.32,0.57,0,0,19,0,0,0,Dismissed for default,
SYNTH-00125,Appeal (HC),Consumer Forum (State),2,Karnataka,Manufacturing,2012-07-23,2014-01-14,18,1259.64,0.54,0,0,22,0,0,1,Decree in favour of plaintiff,
SYNTH-00126,Injunction,Commercial Court,2,Rajasthan,Telecom,2015-09-28,2016-11-21,14,8.83,0.36,0,0,4,1,0,1,Settlement / Compromise,
SYNTH-00127,Appeal (HC),Consumer Forum (District),1,Telangana,Others,2017-04-01,2020-02-15,35,179.02,0.73,0,0,4,0,0,1,Decree in favour of plaintiff,
SYNTH-00128,Arbitration,District Court,1,Maharashtra,Others,2021-05-19,2026-09-20,65,140.12,0.29,0,1,23,0,1,1,Decree in favour of plaintiff,
SYNTH-00129,Commercial Dispute,Consumer Forum (State),2,Tamil Nadu,Healthcare,2020-05-18,2022-08-06,27,14.21,0.57,0,0,2,0,0,0,Decree in favour of defendant,
SYNTH-00130,Liquidation (IBC),Consumer Forum (District),1,Karnataka,Real Estate,2013-05-20,2015-01-10,20,19.77,0.78,0,0,21,0,1,1,Settlement / Compromise,44.39
SYNTH-00131,Consumer Dispute,High Court (Appeal),3,West Bengal,Healthcare,2019-10-27,2024-01-04,51,23.44,0.8,0,0,23,0,0,1,Settlement / Compromise,
SYNTH-00132,Labour / Employment,District Court,1,Punjab,Infrastructure,2017-07-04,2020-01-20,31,78.69,0.29,1,0,18,1,0,0,Withdrawn,
SYNTH-00133,Money Recovery,NCLAT,3,Maharashtra,IT / Technology,2013-03-04,2014-10-25,20,25.52,0.75,0,0,25,1,0,0,Decree in favour of defendant,0.6
SYNTH-00134,Commercial Dispute,Consumer Forum (State),2,Uttar Pradesh,Healthcare,2017-05-14,2020-11-24,43,6.22,0.7,0,0,33,1,0,0,Settlement / Compromise,
SYNTH-00135,Arbitration,District Court,1,Karnataka,Banking & Finance,2016-12-05,2018-10-26,23,18.58,0.35,0,0,31,1,0,1,Settlement / Compromise,
SYNTH-00136,IP Infringement,NCLT,2,Punjab,Infrastructure,2012-04-08,2014-05-28,26,87.04,0.53,0,0,33,1,0,1,Decree in favour of plaintiff,
SYNTH-00137,Injunction,Supreme Court,4,Gujarat,Manufacturing,2013-08-22,2023-11-28,125,197.65,0.35,0,0,10,0,1,0,Settlement / Compromise,
SYNTH-00138,Writ (HC),Consumer Forum (District),1,Rajasthan,Manufacturing,2016-05-23,2017-11-14,18,53.06,0.66,0,0,15,1,0,1,Settlement / Compromise,
SYNTH-00139,Appeal (HC),NCLAT,3,Tamil Nadu,Others,2019-11-19,2020-09-14,10,53.1,0.5,0,0,33,0,1,1,Settlement / Compromise,
SYNTH-00140,IP Infringement,High Court (Original),3,Maharashtra,IT / Technology,2015-08-11,2018-02-26,31,88.6,0.28,0,0,6,0,0,0,Decree in favour of defendant,
SYNTH-00141,Labour / Employment,Commercial Court,2,Rajasthan,Healthcare,2013-08-06,2014-10-30,15,118.99,0.4,0,0,27,1,0,0,Transferred,
SYNTH-00142,Commercial Dispute,District Court,1,Maharashtra,Healthcare,2011-03-13,2019-08-28,103,46.38,0.47,0,0,5,0,1,0,Withdrawn,
SYNTH-00143,Injunction,High Court (Original),3,Punjab,Real Estate,2010-11-10,2014-06-22,44,153.73,0.41,0,0,8,0,0,1,Decree in favour of plaintiff,
SYNTH-00144,Civil Suit,Commercial Court,2,Telangana,Manufacturing,2015-09-28,2017-04-20,19,76.41,0.37,1,0,38,0,1,0,Settlement / Compromise,
SYNTH-00145,Money Recovery,NCLT,2,Punjab,Energy,2011-01-27,2013-07-15,30,63.21,0.38,0,0,4,1,0,0,Dismissed for default,20.59
SYNTH-00146,Appeal (HC),District Court,1,West Bengal,Infrastructure,2021-07-23,2029-09-09,99,230.19,0.57,0,0,0,0,0,0,Decree in favour of defendant,
SYNTH-00147,Liquidation (IBC),Commercial Court,2,Rajasthan,Real Estate,2018-02-02,2023-11-03,70,17.27,0.29,0,0,32,0,0,0,Decree in favour of defendant,3.04
SYNTH-00148,Arbitration,Supreme Court,4,Punjab,Healthcare,2015-09-09,2023-08-28,97,15.49,0.66,0,1,15,0,0,1,Decree in favour of plaintiff,
SYNTH-00149,Civil Suit,High Court (Original),3,Karnataka,Infrastructure,2017-11-26,2020-01-15,26,2.26,0.55,0,0,29,0,0,1,Decree in favour of plaintiff,
SYNTH-00150,Consumer Dispute,Commercial Court,2,West Bengal,Energy,2020-04-07,2021-09-29,18,17.48,0.27,0,0,2,1,0,0,Transferred,
SYNTH-00151,Specific Performance,Consumer Forum (District),1,Maharashtra,Healthcare,2010-10-27,2012-07-18,21,91.16,0.66,0,0,3,0,0,1,Settlement / Compromise,
SYNTH-00152,Commercial Dispute,Supreme Court,4,Uttar Pradesh,IT / Technology,2019-11-12,2032-06-06,153,227.16,0.74,0,0,31,0,0,1,Settlement / Compromise,
SYNTH-00153,Consumer Dispute,Commercial Court,2,Gujarat,IT / Technology,2019-07-10,2020-12-01,17,14.19,0.29,0,0,34,1,1,0,Dismissed for default,
SYNTH-00154,CIRP (IBC),NCLT,2,Delhi,Banking & Finance,2019-07-23,2022-09-05,38,7.54,0.34,0,0,22,0,0,0,Withdrawn,3.64
SYNTH-00155,Arbitration,Supreme Court,4,Rajasthan,Real Estate,2021-07-05,2030-05-19,108,27.01,0.69,0,0,9,0,0,1,Settlement / Compromise,
SYNTH-00156,Money Recovery,High Court (Original),3,Rajasthan,Healthcare,2015-04-18,2016-07-11,15,416.05,0.68,0,0,36,1,1,1,Settlement / Compromise,51.47
SYNTH-00157,CIRP (IBC),NCLAT,3,Karnataka,Telecom,2011-09-22,2013-03-15,18,58.58,0.57,0,0,17,1,1,1,Decree in favour of plaintiff,23.89
SYNTH-00158,Commercial Dispute,Consumer Forum (State),2,Rajasthan,Manufacturing,2012-08-22,2015-01-09,29,118.11,0.39,0,0,39,1,0,1,Settlement / Compromise,
SYNTH-00159,Injunction,Commercial Court,2,Gujarat,Healthcare,2011-08-30,2014-06-15,34,10.11,0.5,0,0,5,0,0,1,Decree in favour of plaintiff,
